"","from","to","weight"
"1","Ford Motor Co","Anglo American Corp of SA Ltd",1
"2","Ford Motor Co","Anglo American Industrial Corp",1
"3","Ford Motor Co","Aries Technology Inc",1
"4","Ford Motor Co","Audi AG",2
"5","Ford Motor Co","Ballard Power Systems Inc",1
"6","Ford Motor Co","Bayerische Motoren Werke AG",2
"7","Ford Motor Co","BTR PLC",1
"8","Ford Motor Co","Central Glass Co Ltd",1
"9","Ford Motor Co","China FAW Group Corp",1
"10","Ford Motor Co","Chongqing Changan Auto Co Ltd",2
"11","Ford Motor Co","Chrysler Corp",3
"12","Ford Motor Co","Cisco Systems Inc",1
"13","Ford Motor Co","Citicorp",1
"14","Ford Motor Co","Commerce One Inc",1
"15","Ford Motor Co","Credit Suisse First Boston Ltd",1
"16","Ford Motor Co","Daimler-Benz Ag",1
"17","Ford Motor Co","Daimler AG",2
"18","Ford Motor Co","Daimlerchrysler Ag",1
"19","Ford Motor Co","Defense Evaluation & Research",1
"20","Ford Motor Co","FCA Italy SpA",1
"21","Ford Motor Co","GE Research and Dvlp Center",1
"22","Ford Motor Co","General Electric Co",1
"23","Ford Motor Co","General Motors Corp",5
"24","Ford Motor Co","Honda Motor Co Ltd",1
"25","Ford Motor Co","Investor Group",1
"26","Ford Motor Co","Iveco Nederland BV",1
"27","Ford Motor Co","Jardine Intl Motor Hldg Ltd",1
"28","Ford Motor Co","Kia Motors Corp(Kia Group)",2
"29","Ford Motor Co","Koc Holding AS",1
"30","Ford Motor Co","KPN",1
"31","Ford Motor Co","Lada-OMS Holding(Ford Motor)",2
"32","Ford Motor Co","Lamb Technicon Corp",1
"33","Ford Motor Co","Lear Corp",1
"34","Ford Motor Co","Lioho Machine Works Ltd",1
"35","Ford Motor Co","Mahindra & Mahindra Ltd",2
"36","Ford Motor Co","Mando Machinery Corp",2
"37","Ford Motor Co","Maruti Udyog Ltd",1
"38","Ford Motor Co","Matsushita Electric Industrial",1
"39","Ford Motor Co","Mazda Motor Corp",11
"40","Ford Motor Co","Microsoft Corp",1
"41","Ford Motor Co","MSX International Inc",1
"42","Ford Motor Co","Navistar International Corp",1
"43","Ford Motor Co","Nissan Motor Co Ltd",3
"44","Ford Motor Co","Oracle Corp",3
"45","Ford Motor Co","Porsche Automobil Holding SE",1
"46","Ford Motor Co","Porsche Pakistan",1
"47","Ford Motor Co","Qualcomm Inc",1
"48","Ford Motor Co","Regie Natle Des Usines",1
"49","Ford Motor Co","Samcor Employees Trust",1
"50","Ford Motor Co","Shanghai Automation",1
"51","Ford Motor Co","Shanghai Automotive Ind Corp",4
"52","Ford Motor Co","Shanghai Yanfeng Accessories",1
"53","Ford Motor Co","Shanghai Yaohua Pilkington",1
"54","Ford Motor Co","Siemens Automotive LP",2
"55","Ford Motor Co","Sollers",1
"56","Ford Motor Co","Song Cong Diesel Factory",1
"57","Ford Motor Co","StreetScooter GmbH",1
"58","Ford Motor Co","Sukosol & Mazda Motor Industry",1
"59","Ford Motor Co","Sumitomo Corp",1
"60","Ford Motor Co","Undisclosed JV Partner",1
"61","Ford Motor Co","United Technologies Corp",1
"62","Ford Motor Co","Volkswagen Ag",2
"63","Ford Motor Co","Volkswagen AG",1
"64","Ford Motor Co","Volkswagen Group Services SCS",1
"65","Ford Motor Co","VTZ",1
"66","Ford Motor Co","Yaohau Glass Factory",1
"67","Ford Motor Co","Yuejin Motor Group Co",1
"68","Ford Motor Co","ZF Friedrichshafen AG",1
"69","Bayerische Motoren Werke AG","Audi AG",2
"70","Bayerische Motoren Werke AG","Brilliance China Automotive",1
"71","Bayerische Motoren Werke AG","CGE",1
"72","Bayerische Motoren Werke AG","Chrysler Corp",1
"73","Bayerische Motoren Werke AG","Critical Software SA",1
"74","Bayerische Motoren Werke AG","Daimler AG",2
"75","Bayerische Motoren Werke AG","Deugro Luftfracht",1
"76","Bayerische Motoren Werke AG","Fokker NV",1
"77","Bayerische Motoren Werke AG","Ford Motor Co",2
"78","Bayerische Motoren Werke AG","Great Wall Motor Co Ltd",2
"79","Bayerische Motoren Werke AG","Hero Cycles Ltd",1
"80","Bayerische Motoren Werke AG","Hero Motors Ltd",2
"81","Bayerische Motoren Werke AG","McDonnell Douglas Corp",1
"82","Bayerische Motoren Werke AG","Porsche Automobil Holding SE",1
"83","Bayerische Motoren Werke AG","Porsche Pakistan",1
"84","Bayerische Motoren Werke AG","PSA Peugeot Citroen SA",1
"85","Bayerische Motoren Werke AG","Robert Bosch GmbH",1
"86","Bayerische Motoren Werke AG","Rolls-Royce Plc",4
"87","Bayerische Motoren Werke AG","SGL Carbon SE",1
"88","Bayerische Motoren Werke AG","Siemens AG",1
"89","Bayerische Motoren Werke AG","VMC",1
"90","Bayerische Motoren Werke AG","Volkswagen Ag",1
"91","Bayerische Motoren Werke AG","Volkswagen AG",1
